Application: Tecan i-control,
Device: infinite 200Pro,

Label1,
Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
E8,0.0627,0.0662,0.0663,0.0774,0.0821,0.0906,0.1047,0.1262,0.1561,0.1834,0.2204,0.2688,0.3263,0.3923,0.4781,0.558,0.6574,0.7422,0.8287,0.907,0.9797,1.0374,1.0842,1.1284,1.1585,1.1802,1.1953,1.2166,1.2259,1.2307,1.2386,1.2383,1.2484,1.2429,1.2525,1.2513,1.2538,1.251,1.2553,1.2572,1.2537,1.2536,1.2553,1.2534,1.254,1.2615,1.2546,1.2519,1.2488
E9,0.0577,0.0644,0.064,0.0788,0.073,0.0959,0.1035,0.1274,0.1429,0.1767,0.2166,0.2604,0.3192,0.3897,0.4663,0.5443,0.632,0.7228,0.8097,0.8841,0.9447,1.0045,1.0486,1.0948,1.1202,1.1464,1.1664,1.1781,1.1864,1.1972,1.1988,1.2144,1.203,1.2196,1.2165,1.2144,1.218,1.2178,1.2253,1.2255,1.2215,1.2186,1.2201,1.2174,1.217,1.219,1.2245,1.2185,1.2208
E10,0.0569,0.0608,0.0691,0.0758,0.083,0.0942,0.1081,0.132,0.1565,0.1808,0.223,0.2788,0.3358,0.4074,0.493,0.581,0.6746,0.7646,0.8535,0.9377,1.0094,1.0704,1.1186,1.1629,1.1946,1.2235,1.2375,1.2566,1.2622,1.2743,1.2766,1.2874,1.2894,1.2898,1.2922,1.2951,1.2967,1.2997,1.2953,1.2951,1.3059,1.2948,1.2987,1.301,1.2901,1.3018,1.3006,1.2967,1.2968
E11,0.0662,0.0651,0.0629,0.072,0.0798,0.0895,0.1103,0.1334,0.146,0.1841,0.2179,0.2733,0.3299,0.3978,0.4796,0.57,0.6574,0.7424,0.8311,0.9044,0.9784,1.0391,1.0866,1.1229,1.1559,1.1786,1.2004,1.2125,1.2236,1.2305,1.2417,1.2441,1.2436,1.2498,1.2493,1.2526,1.2589,1.251,1.2553,1.2508,1.2573,1.2513,1.2507,1.2576,1.2538,1.2502,1.2522,1.2594,1.2568
E12,0.0498,0.058,0.0588,0.059,0.0666,0.081,0.0888,0.1077,0.1266,0.1542,0.1888,0.2327,0.2807,0.34,0.409,0.4804,0.5569,0.6331,0.7057,0.7779,0.8308,0.8816,0.9199,0.9551,0.9836,1.008,1.0214,1.034,1.0426,1.0484,1.0554,1.0593,1.0653,1.0662,1.0669,1.066,1.0645,1.0704,1.0661,1.0678,1.0699,1.0741,1.0739,1.0693,1.0746,1.0769,1.0702,1.0713,1.071
F1,0.0505,0.0549,0.0593,0.0668,0.073,0.08,0.0894,0.1089,0.1324,0.1612,0.1943,0.2316,0.2877,0.3454,0.4162,0.49,0.5759,0.6498,0.7304,0.7903,0.8536,0.9096,0.9491,0.9902,1.0109,1.0284,1.0501,1.0619,1.0721,1.0775,1.0832,1.0869,1.0909,1.0912,1.0986,1.0948,1.1012,1.0949,1.1013,1.0979,1.1001,1.1019,1.0978,1.1008,1.1002,1.0975,1.1019,1.0946,1.1044
F2,0.0581,0.067,0.0684,0.0699,0.0789,0.0934,0.1155,0.1278,0.1511,0.1855,0.2242,0.2797,0.3364,0.4066,0.4904,0.5786,0.6733,0.7677,0.855,0.9379,1.0053,1.0661,1.1186,1.1605,1.191,1.2166,1.2391,1.254,1.2652,1.2724,1.2811,1.2843,1.2851,1.2924,1.2894,1.2928,1.2926,1.2897,1.2953,1.2902,1.2988,1.2969,1.2965,1.2951,1.2937,1.2997,1.296,1.3013,1.297
F3,0.0605,0.0649,0.0681,0.0755,0.0832,0.0975,0.1118,0.1291,0.1585,0.1877,0.2301,0.2801,0.3393,0.4157,0.4901,0.5823,0.6807,0.7761,0.8575,0.9476,1.0125,1.0764,1.1252,1.1699,1.2031,1.2296,1.2467,1.2628,1.2751,1.2797,1.2869,1.2979,1.2885,1.3028,1.3051,1.3075,1.3033,1.3078,1.3065,1.3044,1.3083,1.308,1.3059,1.3058,1.3065,1.3089,1.3073,1.3034,1.3084
F4,0.0608,0.0676,0.0729,0.0699,0.0807,0.0895,0.1065,0.1285,0.1479,0.1803,0.2264,0.2638,0.3237,0.3883,0.4646,0.5501,0.6462,0.7266,0.8175,0.8927,0.9599,1.017,1.0653,1.1058,1.1357,1.1546,1.1769,1.1934,1.2016,1.2102,1.2143,1.2244,1.2176,1.2236,1.2319,1.2261,1.2325,1.2363,1.2287,1.2324,1.2365,1.2326,1.2347,1.2259,1.2392,1.2273,1.2317,1.2291,1.2347
F5,0.0592,0.0586,0.0711,0.0727,0.0836,0.0916,0.1052,0.1298,0.1509,0.1843,0.2289,0.2696,0.3356,0.4148,0.4915,0.5752,0.6729,0.7659,0.8522,0.9338,1.0075,1.0713,1.1168,1.1623,1.1868,1.2236,1.2393,1.2499,1.2626,1.2676,1.2748,1.2833,1.2797,1.2905,1.293,1.2923,1.2906,1.2957,1.2937,1.3001,1.2966,1.3009,1.2937,1.2991,1.2987,1.2978,1.3012,1.2995,1.2993
F6,0.0564,0.0619,0.0716,0.0747,0.0828,0.0896,0.1116,0.1288,0.1535,0.1837,0.2228,0.272,0.3384,0.408,0.4928,0.581,0.6774,0.7679,0.8585,0.9322,1.0113,1.0733,1.1241,1.1638,1.1906,1.2206,1.2335,1.2535,1.2671,1.2775,1.2825,1.2841,1.2907,1.2959,1.2922,1.2951,1.2975,1.2962,1.2971,1.3016,1.3023,1.2979,1.3031,1.295,1.2963,1.3,1.2992,1.3003,1.2986
F7,0.0568,0.0607,0.0702,0.075,0.0845,0.0917,0.1041,0.1215,0.1408,0.176,0.2118,0.2582,0.3188,0.3854,0.464,0.5398,0.6236,0.7066,0.7909,0.8711,0.9313,0.9934,1.0342,1.0731,1.1097,1.1255,1.1389,1.1548,1.164,1.1752,1.179,1.1862,1.1932,1.1878,1.1895,1.1931,1.1975,1.1967,1.1964,1.2012,1.196,1.2026,1.1927,1.1982,1.2001,1.2009,1.1932,1.1957,1.1918
F8,0.0493,0.0485,0.053,0.0512,0.0491,0.0541,0.0496,0.0539,0.052,0.052,0.0527,0.0481,0.0458,0.0524,0.0461,0.0473,0.0493,0.0517,0.0518,0.0445,0.0507,0.0447,0.0568,0.0472,0.0551,0.049,0.0519,0.0476,0.0503,0.0518,0.0546,0.0481,0.0453,0.0463,0.0504,0.0508,0.0492,0.0501,0.0491,0.0487,0.0567,0.0503,0.0537,0.0579,0.046,0.0496,0.05,0.0536,0.049
F9,0.0611,0.0594,0.0694,0.078,0.0808,0.0943,0.1122,0.13,0.1505,0.1877,0.2219,0.2685,0.33,0.4033,0.4832,0.5705,0.6608,0.7483,0.8351,0.9131,0.9841,1.0484,1.0875,1.1368,1.1629,1.1874,1.21,1.2187,1.2349,1.2413,1.2474,1.25,1.2572,1.2601,1.2576,1.26,1.2641,1.2646,1.2578,1.264,1.2592,1.2666,1.2646,1.2634,1.2654,1.2634,1.2671,1.2664,1.2599
F10,0.0634,0.0606,0.07,0.0777,0.0821,0.0957,0.1074,0.1251,0.1467,0.1833,0.2281,0.2777,0.3355,0.4102,0.4846,0.5831,0.6708,0.7659,0.8563,0.9339,1.0127,1.0704,1.1213,1.1633,1.196,1.22,1.2449,1.2507,1.2684,1.2681,1.2769,1.2818,1.284,1.2897,1.2932,1.2903,1.2949,1.2965,1.2955,1.2932,1.2927,1.2937,1.2979,1.3019,1.2948,1.3011,1.2936,1.2951,1.2966
F11,0.0628,0.0651,0.0746,0.0794,0.0848,0.0859,0.1107,0.1251,0.1506,0.1766,0.2196,0.2705,0.3238,0.3897,0.4699,0.5535,0.6399,0.722,0.8132,0.889,0.9578,1.0165,1.0632,1.1035,1.1323,1.1577,1.1671,1.1907,1.1984,1.2102,1.205,1.2237,1.2205,1.2277,1.2261,1.2286,1.2306,1.2251,1.2304,1.2294,1.2266,1.2226,1.2312,1.2313,1.2305,1.2283,1.2294,1.2299,1.2313
F12,0.0515,0.0576,0.0563,0.0656,0.0714,0.0785,0.0928,0.1085,0.1327,0.1596,0.1888,0.2408,0.2833,0.3518,0.4176,0.498,0.5755,0.6572,0.729,0.7927,0.8596,0.9127,0.9587,0.9874,1.0173,1.0383,1.0599,1.0645,1.0809,1.0883,1.0905,1.097,1.0991,1.0982,1.0999,1.0978,1.1079,1.1078,1.1083,1.1054,1.1042,1.1017,1.1046,1.1039,1.1028,1.1071,1.1052,1.1075,1.1044
G1,0.0444,0.0542,0.0572,0.0637,0.0697,0.0768,0.0935,0.1099,0.1314,0.1589,0.1946,0.2347,0.2862,0.3501,0.4209,0.4997,0.5776,0.6522,0.7317,0.8011,0.8664,0.9162,0.9623,0.9965,1.0188,1.0478,1.0598,1.0766,1.0842,1.0918,1.0968,1.0968,1.1045,1.107,1.1041,1.1053,1.1118,1.1116,1.1144,1.111,1.1157,1.1088,1.1151,1.1105,1.1101,1.1102,1.1087,1.1103,1.1104
G2,0.0591,0.0668,0.0681,0.0804,0.0814,0.0874,0.1095,0.1259,0.148,0.1759,0.2212,0.2685,0.3258,0.3981,0.4678,0.5563,0.6433,0.7341,0.8185,0.8944,0.9587,1.0216,1.0741,1.1027,1.1377,1.1649,1.1786,1.1928,1.2035,1.2123,1.2217,1.2311,1.2301,1.2286,1.2312,1.231,1.2331,1.2339,1.2408,1.2389,1.2321,1.24,1.2415,1.2371,1.242,1.239,1.24,1.2371,1.2424
G3,0.0585,0.0616,0.0699,0.0729,0.0793,0.0902,0.1081,0.1207,0.1509,0.1769,0.2192,0.2655,0.3338,0.3996,0.4769,0.5644,0.6552,0.7361,0.824,0.9073,0.9728,1.0344,1.0833,1.1215,1.158,1.1769,1.1952,1.2116,1.2209,1.2238,1.2348,1.2357,1.2434,1.2436,1.241,1.247,1.2492,1.2542,1.2526,1.2534,1.253,1.2443,1.2529,1.2546,1.248,1.2503,1.2484,1.2535,1.2524
G4,0.0653,0.0612,0.0685,0.0801,0.0837,0.0941,0.1055,0.1247,0.1517,0.1842,0.2312,0.2749,0.3341,0.4111,0.4906,0.5789,0.6755,0.7666,0.8555,0.9323,1.0041,1.0652,1.1134,1.153,1.1899,1.2133,1.2332,1.2514,1.257,1.2733,1.2724,1.2808,1.2785,1.2854,1.2842,1.2857,1.2852,1.2897,1.2927,1.2903,1.2903,1.2901,1.2936,1.2948,1.2852,1.2903,1.2945,1.2966,1.2937
G5,0.0611,0.0658,0.0638,0.074,0.0819,0.0893,0.1061,0.1228,0.1486,0.1805,0.2175,0.2688,0.3284,0.3966,0.4738,0.562,0.6425,0.7369,0.8253,0.8985,0.966,1.0253,1.0715,1.109,1.1411,1.1738,1.1915,1.2017,1.2044,1.2161,1.2203,1.2241,1.234,1.2328,1.2313,1.2404,1.2423,1.2389,1.2477,1.2423,1.2417,1.2425,1.2422,1.2434,1.2381,1.2437,1.2439,1.2489,1.2407
G6,0.0598,0.0604,0.0698,0.0746,0.0794,0.0964,0.1105,0.1248,0.1596,0.1738,0.2251,0.2713,0.3332,0.3998,0.4819,0.9678,0.662,0.7528,0.8406,0.9193,0.9881,1.048,1.1034,1.1404,1.1693,1.1986,1.2145,1.2273,1.2355,1.2478,1.2545,1.2557,1.2581,1.2596,1.2629,1.2702,1.2694,1.266,1.2646,1.2615,1.2673,1.2718,1.2669,1.2716,1.276,1.2643,1.2705,1.268,1.2738
G7,0.058,0.0643,0.0686,0.0694,0.0827,0.0905,0.1051,0.1282,0.1466,0.1863,0.2184,0.2687,0.3281,0.3967,0.4727,0.5624,0.656,0.7395,0.8219,0.9033,0.9717,1.0348,1.0772,1.1184,1.1535,1.1753,1.1969,1.2025,1.2161,1.2243,1.2322,1.2333,1.2387,1.2374,1.2467,1.245,1.248,1.2477,1.2504,1.2503,1.2439,1.2457,1.247,1.2443,1.2436,1.253,1.2498,1.2497,1.2492
G8,0.0625,0.0618,0.0679,0.0763,0.0785,0.0915,0.1065,0.1216,0.1467,0.1775,0.2177,0.2639,0.3167,0.3864,0.4648,0.5407,0.633,0.7107,0.7946,0.8733,0.9344,0.9972,1.0368,1.0789,1.1083,1.1373,1.1492,1.1701,1.1742,1.1834,1.1878,1.1979,1.194,1.2026,1.2051,1.2024,1.2006,1.2075,1.2029,1.2036,1.2045,1.204,1.2119,1.2089,1.2082,1.2055,1.2104,1.2042,1.2067
G9,0.0564,0.062,0.0677,0.0755,0.078,0.0931,0.1114,0.1288,0.1525,0.1862,0.2236,0.2764,0.3341,0.414,0.4917,0.5799,0.6658,0.7609,0.8532,0.933,1.0082,1.07,1.114,1.1575,1.1959,1.2175,1.2378,1.2471,1.2637,1.2641,1.2745,1.2783,1.288,1.2852,1.2871,1.2875,1.291,1.293,1.2874,1.2922,1.2974,1.2918,1.2907,1.2952,1.2953,1.2893,1.2988,1.2943,1.2989
G10,0.0564,0.0601,0.0664,0.0721,0.08,0.0924,0.1066,0.1174,0.1491,0.1803,0.2119,0.2554,0.3129,0.3787,0.4609,0.5443,0.633,0.7157,0.7999,0.871,0.9363,0.9968,1.044,1.0747,1.1137,1.1324,1.1519,1.1629,1.1782,1.183,1.1858,1.1953,1.1927,1.1995,1.202,1.2114,1.2058,1.2012,1.2067,1.2057,1.2069,1.2016,1.2117,1.2084,1.2057,1.2008,1.2082,1.2028,1.2035
G11,0.0593,0.0663,0.0672,0.0755,0.083,0.0971,0.108,0.1247,0.1606,0.1799,0.2244,0.2709,0.3351,0.4064,0.4872,0.5654,0.6655,0.7602,0.8399,0.9173,0.9875,1.0476,1.103,1.1421,1.1652,1.2018,1.2187,1.2286,1.2465,1.2511,1.2519,1.2597,1.2644,1.2647,1.2628,1.2677,1.2676,1.2725,1.2733,1.272,1.2774,1.273,1.2763,1.2754,1.2769,1.2763,1.274,1.2719,1.2746
G12,0.0541,0.0464,0.0551,0.0642,0.0701,0.0786,0.0853,0.1039,0.1192,0.1504,0.1802,0.2192,0.2718,0.3329,0.3888,0.461,0.5363,0.6086,0.6781,0.7469,0.7997,0.8503,0.8934,0.9242,0.9448,0.9722,0.9856,0.9965,1.0045,1.0093,1.0144,1.0178,1.0195,1.0265,1.0232,1.0289,1.0265,1.0315,1.0324,1.0302,1.0314,1.0313,1.0271,1.0329,1.0329,1.0286,1.0284,1.0319,1.0283
H1,0.0476,0.0551,0.0605,0.0597,0.0673,0.0806,0.0904,0.1055,0.1286,0.1556,0.1863,0.2251,0.2815,0.3415,0.4071,0.4767,0.5571,0.6332,0.7054,0.7747,0.8341,0.8796,0.9186,0.9536,0.9829,1.0097,1.0192,1.0299,1.0438,1.0514,1.056,1.0536,1.0586,1.0641,1.0604,1.0656,1.0651,1.0702,1.067,1.0657,1.0668,1.0684,1.07,1.0736,1.0689,1.0656,1.0776,1.0703,1.0693
H2,0.046,0.0505,0.056,0.0642,0.0663,0.0818,0.096,0.1084,0.1339,0.1617,0.1943,0.2368,0.2897,0.347,0.4231,0.4987,0.5772,0.6503,0.7342,0.8047,0.8627,0.92,0.9623,0.9928,1.0212,1.0447,1.0593,1.0719,1.0876,1.0884,1.0975,1.0969,1.1039,1.1076,1.1106,1.1062,1.1081,1.1129,1.1127,1.1108,1.1119,1.1108,1.114,1.1132,1.1121,1.1103,1.1132,1.1118,1.1078
H3,0.0466,0.0498,0.0593,0.0618,0.0677,0.0793,0.0881,0.1082,0.1267,0.1473,0.1837,0.2196,0.2726,0.3273,0.3902,0.4621,0.5352,0.6084,0.6838,0.7402,0.8022,0.8485,0.8882,0.9225,0.9448,0.97,0.9827,0.9926,1.0089,1.0073,1.0133,1.0172,1.015,1.0253,1.022,1.0254,1.0275,1.0271,1.0295,1.0297,1.0296,1.0264,1.0298,1.0239,1.0261,1.0293,1.0285,1.0272,1.0321
H4,0.0527,0.0534,0.0596,0.0627,0.0694,0.0775,0.0899,0.1054,0.1248,0.1507,0.1858,0.2235,0.2707,0.3299,0.3918,0.4703,0.5464,0.614,0.685,0.7474,0.808,0.8585,0.8984,0.9289,0.958,0.9794,0.9895,1.0032,1.014,1.017,1.0232,1.0238,1.0272,1.0254,1.0313,1.0329,1.0378,1.0329,1.036,1.0355,1.0358,1.0373,1.0409,1.0343,1.039,1.0356,1.0345,1.0396,1.0342
H5,0.0464,0.0575,0.0589,0.0585,0.0702,0.0809,0.0921,0.1038,0.1208,0.1494,0.1814,0.2231,0.2739,0.3293,0.391,0.4623,0.5385,0.6111,0.6813,0.7402,0.8003,0.8495,0.8932,0.9249,0.9445,0.9678,0.982,0.994,0.9999,1.0074,1.0182,1.0191,1.0191,1.0184,1.0237,1.0281,1.0286,1.0245,1.0302,1.027,1.0282,1.0273,1.0296,1.0239,1.0312,1.0323,1.0323,1.0246,1.0256
H6,0.0495,0.0527,0.0562,0.058,0.0687,0.0806,0.0958,0.1042,0.1253,0.1534,0.1841,0.2238,0.2735,0.3326,0.3917,0.4671,0.5436,0.6191,0.6866,0.753,0.8079,0.8625,0.9036,0.9346,0.9608,0.9746,1.0001,1.0076,1.0159,1.0242,1.0308,1.037,1.0369,1.0351,1.0393,1.041,1.042,1.0447,1.0425,1.041,1.0468,1.0505,1.0429,1.0461,1.0466,1.0462,1.0429,1.0456,1.0471
H7,0.0522,0.0537,0.0614,0.0624,0.0714,0.0776,0.0945,0.109,0.1267,0.1594,0.1953,0.2396,0.2916,0.3519,0.4251,0.5024,0.5745,0.6588,0.7344,0.7976,0.8669,0.9171,0.9622,0.9964,1.0245,1.0421,1.0593,1.0729,1.0841,1.0939,1.0965,1.1031,1.1026,1.1108,1.1085,1.109,1.1134,1.1101,1.113,1.1078,1.1102,1.1075,1.1115,1.1139,1.1123,1.1113,1.1156,1.1111,1.1151
H8,0.054,0.0578,0.0549,0.0599,0.069,0.0794,0.0922,0.1102,0.1266,0.1568,0.1887,0.231,0.2851,0.344,0.4135,0.4838,0.5637,0.6406,0.7179,0.7832,0.8412,0.8962,0.938,0.9729,0.9982,1.0167,1.0313,1.0502,1.0591,1.0639,1.063,1.0728,1.0781,1.0769,1.0806,1.0784,1.0832,1.0792,1.0816,1.0866,1.0831,1.0875,1.085,1.0873,1.0841,1.086,1.0857,1.0834,1.0885
H9,0.0568,0.0532,0.0635,0.0621,0.0699,0.0803,0.0949,0.1143,0.1319,0.156,0.1902,0.2358,0.2836,0.3451,0.4153,0.4868,0.5716,0.6474,0.7187,0.7884,0.8501,0.9019,0.9466,0.9812,1.0072,1.0254,1.0453,1.0555,1.065,1.071,1.0827,1.0815,1.0903,1.0819,1.0904,1.093,1.0933,1.093,1.0868,1.0938,1.0959,1.0964,1.0922,1.0946,1.0919,1.0939,1.0933,1.093,1.0957
H10,0.0549,0.0536,0.0594,0.0614,0.0739,0.0834,0.0941,0.1104,0.1303,0.1576,0.1922,0.2329,0.2832,0.3441,0.4145,0.4867,0.5606,0.6453,0.7185,0.7845,0.8458,0.8988,0.9444,0.9772,1,1.029,1.0423,1.0526,1.0617,1.0666,1.0745,1.0788,1.0797,1.0834,1.0817,1.0881,1.0858,1.082,1.086,1.0882,1.0894,1.0851,1.0883,1.088,1.0871,1.086,1.085,1.0891,1.0857
H11,0.0485,0.0532,0.0537,0.0605,0.0665,0.0805,0.0936,0.1019,0.1241,0.1476,0.1867,0.224,0.2718,0.3309,0.3919,0.4642,0.5376,0.6102,0.679,0.7461,0.8077,0.8558,0.8961,0.9289,0.9477,0.9691,0.9853,0.9993,1.0045,1.0142,1.0134,1.0218,1.0222,1.0251,1.0263,1.0316,1.0284,1.0333,1.0315,1.0335,1.031,1.0322,1.0319,1.0325,1.033,1.0359,1.031,1.0317,1.0302
H12,0.0494,0.057,0.0567,0.0673,0.0701,0.0766,0.0927,0.1108,0.1265,0.1527,0.1899,0.2265,0.2811,0.34,0.4107,0.478,0.5558,0.636,0.708,0.7788,0.8367,0.8867,0.9338,0.9587,0.9969,1.0123,1.0259,1.0372,1.0466,1.0581,1.0641,1.0637,1.0712,1.0711,1.0706,1.0768,1.0762,1.0718,1.0776,1.0792,1.0755,1.0747,1.0784,1.0804,1.0754,1.0778,1.0813,1.0761,1.0758

Date of measurement: 2026-08-28
